Latitude,Longitude,soil_name,soil_purity
-28.760833,17.730278,Leptosols,35.0
-26.861111,28.884722,Vertisols,20.0
-26.45,28.085833,Lixisols,17.0
-27.671111,27.236944,Luvisols,28.0
-27.356667,27.286389,Lixisols,21.0
-27.01011111,26.69808333,Luvisols,15.0
-25.127778,27.628889,Luvisols,45.0
-25.20639,27.558,Luvisols,37.0
-24.69514,27.40906,Luvisols,34.0
-26.98472222,26.63227778,Luvisols,29.0
-28.141944,26.417778,Luvisols,31.0
-27.398611,26.614722,Luvisols,33.0
-33.501667,21.624167,Cambisols,20.0
-32.502778,19.535833,Calcisols,18.0
-25.45963889,28.26430556,Luvisols,23.0
-27.495556,26.074722,Luvisols,43.0
-26.648056,27.089444,Lixisols,17.0
-26.970278,27.211111,Lixisols,16.0
-27.38972222,26.46388889,Luvisols,23.0
-27.044444,27.005,Luvisols,24.0
-30.830556,26.921389,Luvisols,41.0
-27.00222,28.76528,Vertisols,16.0
-27.02314,28.59389,Luvisols,16.0
-30.679722,26.7125,Luvisols,27.0
-30.160091,27.40124,Luvisols,33.0
-32.595833,19.009444,Arenosols,16.0
-25.99136,27.84208,Acrisols,25.0
-26.73806,27.59194,Cambisols,18.0
-30.86013889,29.07125,Acrisols,16.0
-25.73411,27.21422,Acrisols,28.0
-29.160278,26.573333,Luvisols,43.0
-34.250556,20.9925,Luvisols,21.0
-25.81048333,27.90955222,Luvisols,19.0
-27.273889,28.49,Lixisols,16.0
-27.4275,28.525833,Lixisols,17.0
-28.883333,27.89,Cambisols,15.0
-30.534167,24.961944,Cambisols,27.0
-28.460833,21.248889,,
-29.658056,25.973333,Luvisols,51.0
-25.513889,31.224444,Acrisols,26.0
-31.554722,29.245556,Phaeozems,14.0
-28.058889,30.373611,Acrisols,15.0
-25.681111,31.783333,Luvisols,31.0
-27.802778,28.768333,Vertisols,18.0
-31.104278,29.399722,Cambisols,21.0
-31.396,29.2651,Cambisols,19.0
-33.38056,19.30167,Arenosols,14.0
-33.31388889,19.07472222,Leptosols,27.0
-24.39619444,27.08983333,Luvisols,26.0
-26.880278,26.965,Luvisols,17.0
-27.3,28.586944,Lixisols,21.0
-30.568333,29.422778,Acrisols,16.0
-30.570833,29.150556,Acrisols,26.0
-34.031944,22.053333,Luvisols,23.0
-33.13083,18.86278,Luvisols,19.0
-33.7075,18.97444444,Fluvisols,15.0
-25.57877778,29.12747222,Luvisols,21.0
-26.006389,29.253889,Vertisols,18.0
-30.77586667,29.03221667,Luvisols,16.0
-24.925278,29.324444,Luvisols,40.0
-24.679167,30.8025,Acrisols,19.0
-25.49037,30.6986,Acrisols,17.0
-33.818056,19.694722,Luvisols,20.0
-33.897778,20.012778,Luvisols,29.0
-34.065833,20.404167,Luvisols,23.0
-24.058889,31.237222,Luvisols,24.0
-34.092222,21.295278,Luvisols,25.0
-27.363611,31.783333,Cambisols,16.0
-34.329722,18.990278,Cambisols,14.0
-23.281,30.54305556,Luvisols,31.0
-28.801278,31.955389,Arenosols,22.0
-29.140556,31.391944,Vertisols,14.0
-27.169444,29.233889,Vertisols,15.0
-27.573056,24.746389,Luvisols,34.0
-28.69485,28.23487,Cambisols,17.0
-34.039722,22.133333,Luvisols,23.0
-28.068333,31.55,Luvisols,28.0
-29.7775,29.470833,Acrisols,28.0
-29.987778,29.851667,Cambisols,18.0
-29.744167,29.905833,Cambisols,15.0
-25.436111,31.982222,Luvisols,17.0
-25.67386,31.57527,Luvisols,33.0
-30.733889,29.828333,Phaeozems,19.0
-30.398056,30.601944,Arenosols,16.0
-22.43772222,31.07805556,Luvisols,35.0
-29.803611,30.516111,Phaeozems,31.0
-29.641944,30.6875,Phaeozems,19.0
-33.980556,21.653333,Luvisols,26.0
-22.769722,30.886944,Luvisols,41.0
-23.763056,27.908611,Luvisols,26.0
-23.23572222,27.717,Luvisols,33.0
-28.44555556,32.325,Arenosols,20.0
-30.336111,27.359444,Luvisols,33.0
-22.91028,29.61111,Luvisols,32.0
-24.183889,30.823889,Luvisols,28.0
-23.658056,31.05,Luvisols,48.0
-22.225556,29.990556,Luvisols,34.0
-26.03611,30.99778,Ferralsols,18.0
-28.404444,30.013056,Acrisols,18.0
-29.380556,30.2775,Acrisols,21.0
-31.031389,28.883333,Luvisols,22.0
-28.747778,31.745833,Luvisols,14.0
-24.282222,28.090278,Lixisols,18.0
-30.27402,30.69602,Arenosols,13.0
-28.338333,31.373611,Cambisols,16.0
-28.735556,29.820556,Luvisols,15.0
-27.602222,29.942778,Lixisols,13.0
-28.116667,26.725278,Luvisols,38.0
-26.905,32.324722,Arenosols,20.0
-28.75,30.442778,Luvisols,28.0
-29.161667,30.629722,Acrisols,29.0
-34.075556,20.145556,Luvisols,23.0
-27.5275,30.858056,Acrisols,24.0
-25.398889,31.610556,,
-25.362222,31.956667,Luvisols,20.0
-24.034167,31.123611,Luvisols,19.0
-24.99328,30.81444,Ferralsols,33.0
-25.14944444,31.94055556,,
-27.937778,31.209444,Luvisols,17.0
-31.000833,26.353056,Luvisols,29.0
-25.447222,30.711667,Ferralsols,25.0
-27.902778,24.615556,Luvisols,30.0
-31.5653,18.3306,Arenosols,16.0
-30.13573889,30.67422222,Cambisols,17.0
-24.768889,31.39,Luvisols,14.0
-22.548889,28.898056,Luvisols,37.0
-22.935,28.004167,Luvisols,29.0
-31.860278,18.6875,Leptosols,19.0
-29.161667,23.696389,Cambisols,27.0
-24.9675,31.516667,Luvisols,20.0
-29.042222,24.6,Luvisols,19.0
-28.376944,24.303056,Luvisols,36.0
-29.028629,24.638389,Luvisols,23.0
-24.670833,28.560833,Lixisols,17.0
-28.1175,26.719444,Luvisols,30.0
-29.033333,23.983333,Cambisols,25.0
-34.405833,19.600556,Luvisols,21.0
-28.96362,19.15486,Regosols,19.0
-34.005833,22.351111,Luvisols,17.0
-34.02861,22.22222,Luvisols,15.0
-27.935,26.126667,Luvisols,36.0
-27.4,26.624722,Luvisols,32.0
-29.615556,27.065278,Luvisols,33.0
-23.838611,31.640833,,
-28.768056,20.720556,Arenosols,14.0
-31.436944,20.474722,Cambisols,26.0
-28.7115,24.07288889,Luvisols,30.0
-29.1825,23.575556,Cambisols,35.0
-31.394444,20.947222,Cambisols,31.0
-29.651389,22.746389,Cambisols,31.0
-29.758889,30.935278,Cambisols,17.0
-33.72266667,18.61691667,Cambisols,12.0
-33.970833,22.548333,Lixisols,25.0
-33.870833,20.003333,Luvisols,20.0
-33.464444,18.740556,Luvisols,19.0
-33.08883333,19.21878333,Leptosols,18.0
-32.94583,18.33667,Arenosols,20.0
-32.601389,18.750556,Cambisols,20.0
-28.308889,31.9025,Luvisols,20.0
-24.95861111,29.39527778,Luvisols,42.0
-26.619444,27.980833,Lixisols,14.0
-26.510278,28.351389,Lixisols,19.0
-32.043333,27.822778,Cambisols,22.0
-33.329167,26.0775,Luvisols,23.0
-32.99163889,27.64002778,Cambisols,15.0
-34.096389,24.439167,Cambisols,14.0
-32.00055556,28.58166667,Phaeozems,14.0
-32.08639,25.57556,Luvisols,20.0
-33.18536111,27.39075,Cambisols,19.0
-33.731111,24.618333,Luvisols,20.0
-31.905,25.43,Luvisols,25.0
-32.515278,28.015556,Cambisols,23.0
-32.579167,27.366667,Cambisols,18.0
-31.903056,25.482222,Luvisols,16.0
-32.802778,27.856389,Cambisols,15.0
-33.771111,25.386667,Luvisols,29.0
-33.202778,24.235556,Luvisols,23.0
-32.605278,25.885,Luvisols,42.0
-33.001667,25.161389,Cambisols,18.0
-33.094444,25.012778,Cambisols,26.0
-34.0325,24.196389,Podzols,16.0
-32.761111,26.629444,Luvisols,21.0
-33.506389,26.744722,Cambisols,19.0
-32.173889,27.3725,Luvisols,18.0
-32.713889,26.296667,Cambisols,22.0
-33.23778,26.99472,Luvisols,27.0
